pincode,city,tier,localities
110001,delhi,1,Connaught Place
110002,delhi,1,Daryaganj
110003,delhi,1,Lodi Road
110004,delhi,1,
110005,delhi,1,Karol Bagh
110006,delhi,1,Old Delhi
110007,delhi,1,Kamla Nagar
110008,delhi,1,Patel Nagar
110009,delhi,1,Model Town
110010,delhi,1,Delhi Cantt
110011,delhi,1,
110012,delhi,1,Pusa
110013,delhi,1,Nizamuddin
110014,delhi,1,Jangpura
110015,delhi,1,Ramesh Nagar
110016,delhi,1,Hauz Khas | Green Park
110017,delhi,1,Malviya Nagar
110018,delhi,1,Tilak Nagar
110019,delhi,1,Kalkaji
110020,delhi,1,Okhla
110021,delhi,1,Chanakyapuri
110022,delhi,1,R.K. Puram
110023,delhi,1,Sarojini Nagar
110024,delhi,1,Lajpat Nagar | Defence Colony
110025,delhi,1,New Friends Colony | Okhla
110026,delhi,1,Punjabi Bagh
110027,delhi,1,Rajouri Garden | Tagore Garden
110028,delhi,1,Naraina
110029,delhi,1,Safdarjung Enclave
110030,delhi,1,Mehrauli
110031,delhi,1,Gandhi Nagar
110032,delhi,1,Shahdara
110033,delhi,1,Azadpur
110034,delhi,1,Pitampura
110035,delhi,1,Shakurpur
110036,delhi,1,Alipur
110037,delhi,1,Mahipalpur
110038,delhi,1,Rajokari
110039,delhi,1,Bawana
110040,delhi,1,Narela
110041,delhi,1,Nangloi
110042,delhi,1,Samaypur Badli
110043,delhi,1,Najafgarh
110044,delhi,1,Badarpur
110045,delhi,1,Palam
110046,delhi,1,Nangal Raya
110047,delhi,1,Arjun Garh
110048,delhi,1,Greater Kailash
110049,delhi,1,Andrews Ganj
110052,delhi,1,Ashok Vihar
110053,delhi,1,Bhajanpura
110054,delhi,1,Civil Lines
110055,delhi,1,Paharganj
110056,delhi,1,Shakur Basti
110057,delhi,1,Vasant Vihar
110058,delhi,1,Janakpuri
110059,delhi,1,Uttam Nagar
110060,delhi,1,Rajinder Nagar
110061,delhi,1,Palam
110062,delhi,1,Pushp Vihar
110063,delhi,1,Paschim Vihar
110064,delhi,1,Hari Nagar
110065,delhi,1,East of Kailash
110066,delhi,1,R.K. Puram
110067,delhi,1,Munirka
110068,delhi,1,Saket
110070,delhi,1,Vasant Kunj
110071,delhi,1,Chhawla
110072,delhi,1,Vasant Kunj
110073,delhi,1,Najafgarh
110074,delhi,1,Chhatarpur
110075,delhi,1,Dwarka
110076,delhi,1,Sarita Vihar
110077,delhi,1,Mahavir Enclave
110078,delhi,1,Dwarka
110080,delhi,1,Sangam Vihar
110081,delhi,1,Kanjhawala
110084,delhi,1,Burari
110085,delhi,1,Rohini
110086,delhi,1,Rohini
110088,delhi,1,Shalimar Bagh
110089,delhi,1,Rohini
110091,delhi,1,Mayur Vihar
110092,delhi,1,Preet Vihar | Laxmi Nagar
110093,delhi,1,Seelampur
110094,delhi,1,Karawal Nagar
110095,delhi,1,Vivek Vihar | Shahdara
110096,delhi,1,Mayur Vihar Phase III | Vasundhara Enclave
122001,gurgaon,1,South City 1
122002,gurgaon,1,DLF Phase 1 | DLF Phase 2 | Golf Course Road
122003,gurgaon,1,Sector 44 | Sector 45 | Sector 46 | Sector 52
122004,gurgaon,1,Sector 72 | Sector 73 | Sector 74 | Sector 75 | Sector 76 | Sector 77 | Sector 82 | Sector 83 | Sector 84 | Sector 85 | Sector 86 | Sector 88
122009,gurgaon,1,DLF Phase 4
122010,gurgaon,1,DLF Phase 3
122011,gurgaon,1,DLF Phase 5 | Golf Course Road | Sector 42 | Sector 43 | Sector 53 | Sector 54 | Sector 55 | Sector 56 | Sector 57 | Sector 58 | Sector 59 | Sector 60 | Sector 61
122016,gurgaon,1,Sector 21
122018,gurgaon,1,South City 2 | Sector 47 | Sector 49 | Sector 50 | Sector 51 | Sector 65 | Sector 66
122051,gurgaon,1,Manesar
122052,gurgaon,1,IMT Manesar
122101,gurgaon,1,Sector 67 | Sector 68 | Sector 69 | Sector 70 | Sector 71
122102,gurgaon,1,Sohna Road
122505,gurgaon,1,
201301,noida,1,Sector 12 | Sector 15 | Sector 16 | Sector 18 | Sector 19 | Sector 20 | Sector 21 | Sector 22 | Sector 27 | Sector 28 | Sector 29 | Sector 30 | Sector 50 | Sector 51 | Sector 52 | Sector 55 | Sector 56 | Sector 61 | Sector 62 | Sector 63 | Sector 71 | Sector 72 | Sector 74 | Sector 75 | Sector 76 | Sector 77 | Sector 78 | Sector 79
