serve?,name,locality,city,kind,pincode,source,licence,fact:Towers or blocks,fact:Approximate homes,fact:Builder,fact:Possession year,fact:Typical flat sizes,fact:Helper entry process,fact:Helper ID card issued by,fact:Service lift for helpers
,Edana Apartment,alpha,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Gharonda Apartment,alpha,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,JP Greens,alpha,greater-noida,landmark,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Delta 2,beta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Delta 3,beta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Gamma 2,beta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Alpha 2,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Godrej Crest,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Godrej Evoke,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Godrej Golflinks,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Godrej Park Avenue,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Gorej Windsor,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,The Suites,delta,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Beta 1,gamma,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Sigma Apartments,gamma,greater-noida,society,201310,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,12th Avenue Gaur City 2,gaur-city,greater-noida,society,201306,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,16th Avenue,gaur-city,greater-noida,society,201306,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
,Aastha Greens,gaur-city,greater-noida,society,201306,OpenStreetMap via Overpass API,ODbL 1.0 — © OpenStreetMap contributors,,,,,,,,
