keyword,target_url,city,priority,page_type,target_indexable
"maid service",/,national,very-high,"home",yes
"maid service india",/services/maid-service,national,high,"service-hub",yes
"domestic help agency india",/services/maid-service,national,high,"service-hub",yes
"full-time maid service",/services/full-time-maid,national,high,"service-hub",yes
"full time maid india",/services/full-time-maid,national,medium,"service-hub",yes
"full day maid india",/services/full-time-maid,national,medium,"service-hub",yes
"8-hour maid india",/services/full-time-maid,national,medium,"service-hub",yes
"part-time maid service",/services/part-time-maid,national,high,"service-hub",yes
"part time maid india",/services/part-time-maid,national,medium,"service-hub",yes
"hourly maid india",/services/part-time-maid,national,medium,"service-hub",yes
"morning maid india",/services/part-time-maid,national,medium,"service-hub",yes
"cook service",/services/cook,national,high,"service-hub",yes
"cook service india",/services/cook,national,medium,"service-hub",yes
"home cook india",/services/cook,national,medium,"service-hub",yes
"cooking maid india",/services/cook,national,medium,"service-hub",yes
"babysitter / nanny service",/services/babysitter-nanny,national,high,"service-hub",yes
"babysitter india",/services/babysitter-nanny,national,medium,"service-hub",yes
"nanny india",/services/babysitter-nanny,national,medium,"service-hub",yes
"child caretaker india",/services/babysitter-nanny,national,medium,"service-hub",yes
"elder care service",/services/elder-care,national,high,"service-hub",yes
"elder care maid india",/services/elder-care,national,medium,"service-hub",yes
"caretaker for elderly india",/services/elder-care,national,medium,"service-hub",yes
"senior citizen caretaker india",/services/elder-care,national,medium,"service-hub",yes
"domestic help service",/services/domestic-help,national,high,"service-hub",yes
"domestic helper india",/services/domestic-help,national,medium,"service-hub",yes
"house help india",/services/domestic-help,national,medium,"service-hub",yes
"household help india",/services/domestic-help,national,medium,"service-hub",yes
"maid service in delhi",/delhi,delhi,very-high,"city",yes
"maid agency in delhi",/delhi,delhi,high,"city",yes
"domestic help in delhi",/delhi,delhi,high,"city",yes
"best maid service in delhi",/delhi,delhi,high,"city",yes
"verified maid service in delhi",/delhi,delhi,high,"city",yes
"maid service in new delhi",/delhi,delhi,very-high,"city (alt name, same page)",yes
"full-time maid in delhi",/services/full-time-maid/delhi,delhi,high,"service-city",yes
"part-time maid in delhi",/services/part-time-maid/delhi,delhi,high,"service-city",yes
"cook in delhi",/services/cook/delhi,delhi,high,"service-city",yes
"babysitter / nanny in delhi",/services/babysitter-nanny/delhi,delhi,high,"service-city",yes
"elder care in delhi",/services/elder-care/delhi,delhi,high,"service-city",yes
"maid service in noida",/noida,noida,very-high,"city",yes
"maid agency in noida",/noida,noida,high,"city",yes
"domestic help in noida",/noida,noida,high,"city",yes
"best maid service in noida",/noida,noida,high,"city",yes
"verified maid service in noida",/noida,noida,high,"city",yes
"full-time maid in noida",/services/full-time-maid/noida,noida,high,"service-city",yes
"part-time maid in noida",/services/part-time-maid/noida,noida,high,"service-city",yes
"cook in noida",/services/cook/noida,noida,high,"service-city",yes
"babysitter / nanny in noida",/services/babysitter-nanny/noida,noida,high,"service-city",yes
"elder care in noida",/services/elder-care/noida,noida,high,"service-city",yes
"maid service in greater noida",/greater-noida,greater-noida,very-high,"city",yes
"maid agency in greater noida",/greater-noida,greater-noida,high,"city",yes
"domestic help in greater noida",/greater-noida,greater-noida,high,"city",yes
"best maid service in greater noida",/greater-noida,greater-noida,high,"city",yes
"verified maid service in greater noida",/greater-noida,greater-noida,high,"city",yes
"maid service in greater noida west",/greater-noida,greater-noida,very-high,"city (alt name, same page)",yes
"maid service in noida extension",/greater-noida,greater-noida,very-high,"city (alt name, same page)",yes
"full-time maid in greater noida",/services/full-time-maid/greater-noida,greater-noida,high,"service-city",yes
