old_path,new_path,status,reason
/about-us,/about,301,"trust page rename"
/auth,/app/auth,301,"SPA moved under /app"
/best-cook-service-in-agra,,410,"best-service-in-city: city 'agra' outside footprint"
/best-cook-service-in-ahmedabad,,410,"best-service-in-city: city 'ahmedabad' outside footprint"
/best-cook-service-in-bangalore,/services/cook/bangalore,301,"best-service-in-city: service×city"
/best-cook-service-in-bhopal,,410,"best-service-in-city: city 'bhopal' outside footprint"
/best-cook-service-in-bhubaneswar,,410,"best-service-in-city: city 'bhubaneswar' outside footprint"
/best-cook-service-in-chandigarh,,410,"best-service-in-city: city 'chandigarh' outside footprint"
/best-cook-service-in-chennai,,410,"best-service-in-city: city 'chennai' outside footprint"
/best-cook-service-in-coimbatore,,410,"best-service-in-city: city 'coimbatore' outside footprint"
/best-cook-service-in-dehradun,,410,"best-service-in-city: city 'dehradun' outside footprint"
/best-cook-service-in-delhi,/services/cook/delhi,301,"best-service-in-city: service×city"
/best-cook-service-in-faridabad,,410,"best-service-in-city: city 'faridabad' outside footprint"
/best-cook-service-in-ghaziabad,,410,"best-service-in-city: city 'ghaziabad' outside footprint"
/best-cook-service-in-gurugram,/services/cook/gurgaon,301,"best-service-in-city: service×city"
/best-cook-service-in-guwahati,,410,"best-service-in-city: city 'guwahati' outside footprint"
/best-cook-service-in-hyderabad,,410,"best-service-in-city: city 'hyderabad' outside footprint"
/best-cook-service-in-indore,,410,"best-service-in-city: city 'indore' outside footprint"
/best-cook-service-in-jaipur,,410,"best-service-in-city: city 'jaipur' outside footprint"
/best-cook-service-in-jodhpur,,410,"best-service-in-city: city 'jodhpur' outside footprint"
/best-cook-service-in-kanpur,,410,"best-service-in-city: city 'kanpur' outside footprint"
/best-cook-service-in-kochi,,410,"best-service-in-city: city 'kochi' outside footprint"
/best-cook-service-in-kolkata,,410,"best-service-in-city: city 'kolkata' outside footprint"
/best-cook-service-in-lucknow,,410,"best-service-in-city: city 'lucknow' outside footprint"
/best-cook-service-in-ludhiana,,410,"best-service-in-city: city 'ludhiana' outside footprint"
/best-cook-service-in-madurai,,410,"best-service-in-city: city 'madurai' outside footprint"
/best-cook-service-in-mangalore,/services/cook/mangalore,301,"best-service-in-city: service×city"
/best-cook-service-in-mumbai,/services/cook/mumbai,301,"best-service-in-city: service×city"
/best-cook-service-in-mysore,,410,"best-service-in-city: city 'mysore' outside footprint"
/best-cook-service-in-nagpur,,410,"best-service-in-city: city 'nagpur' outside footprint"
/best-cook-service-in-nashik,,410,"best-service-in-city: city 'nashik' outside footprint"
/best-cook-service-in-navi-mumbai,/services/cook/mumbai,301,"best-service-in-city: service×city"
/best-cook-service-in-noida,/services/cook/noida,301,"best-service-in-city: service×city"
/best-cook-service-in-patna,,410,"best-service-in-city: city 'patna' outside footprint"
/best-cook-service-in-pune,/services/cook/pune,301,"best-service-in-city: service×city"
/best-cook-service-in-raipur,,410,"best-service-in-city: city 'raipur' outside footprint"
/best-cook-service-in-ranchi,,410,"best-service-in-city: city 'ranchi' outside footprint"
/best-cook-service-in-surat,,410,"best-service-in-city: city 'surat' outside footprint"
/best-cook-service-in-thane,,410,"best-service-in-city: city 'thane' outside footprint"
/best-cook-service-in-thiruvananthapuram,,410,"best-service-in-city: city 'thiruvananthapuram' outside footprint"
/best-cook-service-in-vadodara,,410,"best-service-in-city: city 'vadodara' outside footprint"
/best-cook-service-in-varanasi,,410,"best-service-in-city: city 'varanasi' outside footprint"
/best-cook-service-in-vijayawada,,410,"best-service-in-city: city 'vijayawada' outside footprint"
/best-cook-service-in-visakhapatnam,,410,"best-service-in-city: city 'visakhapatnam' outside footprint"
/best-elderly-care-service-in-agra,,410,"best-service-in-city: city 'agra' outside footprint"
/best-elderly-care-service-in-ahmedabad,,410,"best-service-in-city: city 'ahmedabad' outside footprint"
/best-elderly-care-service-in-bangalore,/services/elder-care/bangalore,301,"best-service-in-city: service×city"
/best-elderly-care-service-in-bhopal,,410,"best-service-in-city: city 'bhopal' outside footprint"
/best-elderly-care-service-in-bhubaneswar,,410,"best-service-in-city: city 'bhubaneswar' outside footprint"
/best-elderly-care-service-in-chandigarh,,410,"best-service-in-city: city 'chandigarh' outside footprint"
/best-elderly-care-service-in-chennai,,410,"best-service-in-city: city 'chennai' outside footprint"
/best-elderly-care-service-in-coimbatore,,410,"best-service-in-city: city 'coimbatore' outside footprint"
/best-elderly-care-service-in-dehradun,,410,"best-service-in-city: city 'dehradun' outside footprint"
/best-elderly-care-service-in-delhi,/services/elder-care/delhi,301,"best-service-in-city: service×city"
/best-elderly-care-service-in-faridabad,,410,"best-service-in-city: city 'faridabad' outside footprint"
/best-elderly-care-service-in-ghaziabad,,410,"best-service-in-city: city 'ghaziabad' outside footprint"
/best-elderly-care-service-in-gurugram,/services/elder-care/gurgaon,301,"best-service-in-city: service×city"
/best-elderly-care-service-in-guwahati,,410,"best-service-in-city: city 'guwahati' outside footprint"
/best-elderly-care-service-in-hyderabad,,410,"best-service-in-city: city 'hyderabad' outside footprint"
/best-elderly-care-service-in-indore,,410,"best-service-in-city: city 'indore' outside footprint"
/best-elderly-care-service-in-jaipur,,410,"best-service-in-city: city 'jaipur' outside footprint"
/best-elderly-care-service-in-jodhpur,,410,"best-service-in-city: city 'jodhpur' outside footprint"
/best-elderly-care-service-in-kanpur,,410,"best-service-in-city: city 'kanpur' outside footprint"
/best-elderly-care-service-in-kochi,,410,"best-service-in-city: city 'kochi' outside footprint"
/best-elderly-care-service-in-kolkata,,410,"best-service-in-city: city 'kolkata' outside footprint"
/best-elderly-care-service-in-lucknow,,410,"best-service-in-city: city 'lucknow' outside footprint"
